Page URL,Structured data,Field,Issue description,Discovered
https://siteoptz.ai/reviews/0cody,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/0cody,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/10web,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/10web,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/11-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/11-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/37x,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/37x,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/6sense-aidriven-revenue-growth-optimization,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/6sense-aidriven-revenue-growth-optimization,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/a0-dev,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/a0-dev,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/acquisio,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/acquisio,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/actionflows,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/actionflows,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/adalysis,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/adalysis,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/adbeat,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/adbeat,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
